,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
56,AGN,9.08e-15,1.53e-14,1.12e-14,2.05e-14,9999999.0,9999999.0,19.61,9999999.0,9999999.0,9999999.0,9999999.0,16.007,15.165,11.845,9999999.0,9999999.0,9999999.0,9999999.0,20.19,9999999.0
57,AGN,2.25e-14,1.85e-14,2.1e-14,1.92e-14,9999999.0,9999999.0,19.9,9999999.0,9999999.0,9999999.0,9999999.0,16.139,14.942,12.29,9999999.0,9999999.0,9999999.0,9999999.0,20.32,9999999.0
58,AGN,6.06e-17,8.25e-17,7.84e-16,7.62e-15,9999999.0,9999999.0,17.72,9999999.0,16.711,16.079,15.342,13.484,12.093,9.359,9999999.0,9999999.0,9999999.0,9999999.0,18.97,18.23
59,AGN,1.9e-14,4.23e-14,5.42e-14,1.36e-13,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
60,AGN,7.73e-16,2.01e-15,2.8e-15,5.07e-15,20.456,20.275,20.068,19.394,9999999.0,9999999.0,9999999.0,16.23,15.17,11.517,9999999.0,9999999.0,9999999.0,9999999.0,20.53,19.696
61,AGN,1.38e-16,5.02e-16,5.25e-16,1.95e-14,21.622,20.092,19.061,18.304,9999999.0,9999999.0,9999999.0,14.383,13.46,10.138,9999999.0,9999999.0,9999999.0,9999999.0,19.74,18.718
62,AGN,3.51e-15,6.9e-15,7.13e-15,2.36e-14,22.349,20.8,9999999.0,21.056,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,18.04,9999999.0
63,AGN,3.36e-15,5.37e-15,6.15e-15,1.17e-14,21.827,21.543,20.887,20.689,9999999.0,9999999.0,9999999.0,17.138,16.28,12.383,9999999.0,9999999.0,9999999.0,9999999.0,20.72,20.922
64,AGN,3.13e-15,3.86e-15,5.29e-15,6.57e-15,21.148,21.062,20.741,20.688,9999999.0,9999999.0,9999999.0,17.077,15.95,11.756,9999999.0,9999999.0,9999999.0,9999999.0,20.74,20.687
65,AGN,5.9e-15,8.09e-15,8.61e-15,1.95e-14,20.148,20.282,19.968,19.845,9999999.0,9999999.0,9999999.0,16.178,14.884,12.29,9999999.0,9999999.0,9999999.0,9999999.0,20.12,20.05
66,AGN,4.03e-15,5.97e-15,5.83e-15,8.47e-15,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
67,AGN,6.17e-16,1.58e-15,1.08e-16,4.11e-15,23.605,21.551,21.294,20.968,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.71,21.309
68,AGN,3.64e-15,5.24e-15,4.19e-15,4.04e-15,21.382,21.514,21.149,21.407,9999999.0,9999999.0,9999999.0,17.122,15.255,11.9,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,21.032
